timestamp,audit_event_type,incident_time,payment_method,affected_bank,device_type,recommended_bank,policy_decision,policy_approved,policy_reason,human_review_required,incident_transactions,failed_transactions,eligible_transactions,recovered_transactions,remaining_failed,stopped_transactions,escalated_transactions,success_rate_before,success_rate_after,success_improvement_pp,expected_additional_successes,estimated_recovered_value,simulated_recovered_value,average_transaction_value,guardrail_decision,guardrail_reason,recovery_healthy,rollback_required,attempted_amount,recovered_amount,execution_cost,net_recovered_value,recovery_rate
2026-08-28T12:24:26,RECOVERY_DECISION,2026-07-23 19:00:00,UPI,Bank_X,Android,Bank_A,RECOVER,True,Recovery approved: Bank_A provides a 26.32 pp success-rate improvement with sufficient historical evidence.,False,508,155,155,149,6,0,0,0.6948818897637795,0.958067158067158,26.318526830337852,133.69811629811628,285602.4100830427,318289.89278716507,2136.1737770950676,NOT_RECORDED,,,False,,,,,
2026-08-28T12:27:33,RECOVERY_DECISION,2026-07-23 19:00:00,UPI,Bank_X,Android,Bank_A,RECOVER,True,Recovery approved: Bank_A provides a 26.32 pp success-rate improvement with sufficient historical evidence.,False,508,155,155,149,6,0,0,0.6948818897637795,0.958067158067158,26.318526830337852,133.69811629811628,285602.4100830427,318289.89278716507,2136.1737770950676,NOT_RECORDED,,,False,,,,,
2026-08-29T20:31:12,RECOVERY_DECISION,2026-07-23 19:00:00,UPI,Bank_X,Android,Bank_A,RECOVER,True,Recovery approved: Bank_A provides a 26.32 pp success-rate improvement with sufficient historical evidence.,False,508,155,155,149,6,0,0,0.6948818897637795,0.958067158067158,26.318526830337852,133.69811629811628,285602.4100830427,318289.89278716507,2136.1737770950676,NOT_RECORDED,,,False,,,,,
2026-08-29T20:38:49,RECOVERY_DECISION,2026-07-23 19:00:00,UPI,Bank_X,Android,Bank_A,RECOVER,True,Recovery approved: Bank_A provides a 26.32 pp success-rate improvement with sufficient historical evidence.,False,508,155,155,149,6,0,0,69.48818897637796,95.8067158067158,26.318526830337852,133.69811629811628,285602.4100830427,318289.89278716507,2136.1737770950676,CONTINUE,Recovery route remains within configured performance guardrails.,True,False,,,,,
2026-09-02T14:16:26,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + Android,ROUTE_SWITCH:UPI + Bank_A + Android,True,"Recovery executed, verified, and learning statistics updated.",False,50,0,1,1,0,0,0,0.0,100.0,100.0,1,1723.53,1723.53,2780.050800000001,COMPLETED,Bounded canary execution completed.,True,False,,,,,
2026-09-02T23:27:20,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + Android,ROUTE_SWITCH:UPI + Bank_A + Android,True,"Recovery executed, verified, and learning statistics updated.",False,50,0,1,1,0,0,0,0.0,100.0,100.0,1,1723.53,1723.53,2780.050800000001,COMPLETED,Bounded canary execution completed.,True,False,,,,,
2026-09-02T23:34:20,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + Android,ROUTE_SWITCH:UPI + Bank_A + Android,True,"Recovery executed, verified, and learning statistics updated.",False,50,0,1,1,0,0,0,0.0,100.0,100.0,1,1723.53,1723.53,2780.050800000001,COMPLETED,Bounded canary execution completed.,True,False,,,,,
2026-09-03T00:21:07,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + Android,ROUTE_SWITCH:UPI + Bank_A + Android,True,"Recovery executed, verified, and learning statistics updated.",False,50,0,1,1,0,0,0,0.0,100.0,100.0,1,1723.53,1723.53,2780.050800000001,COMPLETED,Bounded canary execution completed.,True,False,,,,,
2026-09-03T00:36:09,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + Android,ROUTE_SWITCH:UPI + Bank_A + Android,True,"Recovery executed, verified, and learning statistics updated.",False,50,0,1,1,0,0,0,0.0,100.0,100.0,1,1723.53,1723.53,2780.050800000001,COMPLETED,Bounded canary execution completed.,True,False,,,,,
2026-09-03T22:47:47,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + iOS,ROUTE_SWITCH:UPI + Bank_A + iOS,True,"Recovery executed, verified, canary-evaluated, and learning statistics updated.",False,50,1,5,4,1,0,0,0.0,80.0,80.0,4,29434.43,29434.43,2882.4527999999996,COMPLETED,Bounded canary execution completed.,True,False,,,,,
2026-09-04T22:52:16,POLICY_EVENT,UPI + Bank_X + Android,UPI,Bank_X,Android,UPI + Bank_A + Android,ROUTE_SWITCH:UPI + Bank_A + Android,True,Route recovery passed deterministic safety policy checks. Execution must remain bounded and subject to recovery guardrails.,False,200,0,5,5,0,0,0,0.0,100.0,100.0,5,2500.0,2500.0,500.0,COMPLETED,Bounded canary execution completed.,True,False,2500.0,2500.0,125.0,2375.0,1.0
