transaction_id,merchant_id,customer_id,amount,payment_method,bank,device_type,location,timestamp,status,incident_ground_truth,error_code,retry_count
TXN078303,M007,C09036,1177.51,UPI,Bank_A,iOS,Mumbai,2026-07-04 13:44:36.000000000,SUCCESS,0,,0
TXN066465,M034,C09339,24109.71,UPI,Bank_X,Android,Hyderabad,2026-07-22 14:44:22.000000000,FAILED,0,NETWORK_ERROR,2
TXN093228,M002,C08924,5197.64,UPI,Bank_X,Web,Hyderabad,2026-07-17 04:23:12.000000000,SUCCESS,0,,0
TXN001748,M034,C02071,1072.34,CARD,Bank_A,Android,Mumbai,2026-07-04 00:15:16.000000000,SUCCESS,0,,0
TXN080005,M005,C02110,538.0,UPI,Bank_A,iOS,Chennai,2026-07-16 08:04:24.000000000,SUCCESS,0,,0
TXN019261,M016,C08732,254.23,UPI,Bank_B,Web,Bangalore,2026-07-08 08:28:38.000000000,SUCCESS,0,,0
TXN026830,M014,C09170,1081.0,UPI,Bank_C,Android,Chennai,2026-07-07 05:09:36.000000000,SUCCESS,0,,0
TXN080313,M039,C08084,328.62,CARD,Bank_B,Android,Chennai,2026-07-25 02:49:05.000000000,SUCCESS,0,,0
TXN018568,M024,C04861,666.25,CARD,Bank_B,Android,Hyderabad,2026-07-25 15:29:03.000000000,SUCCESS,0,,0
TXN031083,M012,C03560,658.59,UPI,Bank_B,Android,Bangalore,2026-07-25 04:49:06.000000000,SUCCESS,0,,0
TXN024142,M029,C02560,4506.99,UPI,Bank_X,Android,Delhi,2026-07-25 14:55:10.000000000,SUCCESS,0,,0
TXN095216,M003,C05674,3378.09,NETBANKING,Bank_A,Android,Chennai,2026-07-23 10:13:26.000000000,SUCCESS,0,,0
TXN018847,M027,C04787,1698.19,UPI,Bank_Y,iOS,Bangalore,2026-07-19 06:34:54.000000000,SUCCESS,0,,0
TXN002350,M041,C01543,2591.43,UPI,Bank_Y,Android,Delhi,2026-07-23 18:49:01.000000000,SUCCESS,0,,0
TXN020197,M045,C03760,1859.44,NETBANKING,Bank_C,Android,Delhi,2026-07-24 02:32:29.000000000,SUCCESS,0,,0
TXN043192,M046,C01572,1845.18,WALLET,Bank_A,iOS,Delhi,2026-07-22 20:32:14.000000000,SUCCESS,0,,0
TXN065288,M029,C03242,3595.74,UPI,Bank_X,Web,Bangalore,2026-07-11 16:04:43.000000000,SUCCESS,0,,0
TXN007733,M006,C06280,2523.1,UPI,Bank_X,Android,Delhi,2026-07-20 12:37:20.000000000,SUCCESS,0,,0
TXN079604,M007,C05258,557.4,UPI,Bank_B,Web,Delhi,2026-07-10 14:54:33.000000000,SUCCESS,0,,0
TXN015207,M046,C00125,1612.53,UPI,Bank_X,Android,Delhi,2026-07-27 05:10:08.000000000,SUCCESS,0,,0
TXN034431,M048,C05580,1848.44,UPI,Bank_X,iOS,Mumbai,2026-07-14 12:54:54.000000000,SUCCESS,0,,0
TXN058555,M018,C02124,1486.2,UPI,Bank_Y,Android,Mumbai,2026-07-12 09:20:27.000000000,SUCCESS,0,,0
TXN096688,M004,C08370,1308.19,UPI,Bank_B,iOS,Hyderabad,2026-07-31 18:53:04.000000000,SUCCESS,0,,0
TXN029888,M010,C09174,1600.93,CARD,Bank_C,Web,Hyderabad,2026-07-18 23:26:15.000000000,SUCCESS,0,,0
TXN058030,M008,C03692,2601.32,UPI,Bank_Y,Android,Mumbai,2026-07-14 21:13:01.000000000,SUCCESS,0,,0
TXN061209,M001,C02886,1914.41,NETBANKING,Bank_C,Android,Delhi,2026-07-28 22:54:14.000000000,SUCCESS,0,,0
TXN082881,M028,C06050,659.56,UPI,Bank_Y,Android,Hyderabad,2026-07-17 09:30:01.000000000,SUCCESS,0,,0
TXN028641,M015,C03337,1747.34,UPI,Bank_Y,Web,Bangalore,2026-07-30 02:42:14.000000000,SUCCESS,0,,0
TXN013365,M032,C09664,1177.7,CARD,Bank_A,Web,Hyderabad,2026-07-15 16:20:30.000000000,SUCCESS,0,,0
TXN007738,M040,C08522,3741.51,CARD,Bank_B,Android,Bangalore,2026-07-18 17:23:59.000000000,SUCCESS,0,,0
TXN057851,M042,C07787,753.81,UPI,Bank_C,Android,Mumbai,2026-07-23 06:35:55.000000000,SUCCESS,0,,0
TXN065788,M023,C02918,3371.35,NETBANKING,Bank_B,Web,Bangalore,2026-07-13 08:24:37.000000000,SUCCESS,0,,0
TXN073348,M027,C00749,1634.78,UPI,Bank_X,iOS,Delhi,2026-07-18 14:01:52.000000000,SUCCESS,0,,0
TXN085131,M009,C04734,375.98,UPI,Bank_C,Android,Chennai,2026-07-23 05:19:08.000000000,SUCCESS,0,,0
TXN040629,M003,C03328,3233.26,UPI,Bank_X,Android,Bangalore,2026-07-31 20:07:11.000000000,SUCCESS,0,,0
TXN046566,M035,C00939,586.67,UPI,Bank_X,Android,Chennai,2026-07-03 08:12:17.000000000,SUCCESS,0,,0
TXN033787,M049,C06880,1288.06,CARD,Bank_B,iOS,Bangalore,2026-07-06 15:34:31.000000000,SUCCESS,0,,0
TXN021398,M048,C03426,5762.36,UPI,Bank_B,Web,Mumbai,2026-07-26 20:06:22.000000000,SUCCESS,0,,0
TXN030919,M015,C05278,599.69,UPI,Bank_Y,Web,Delhi,2026-07-15 23:10:13.000000000,SUCCESS,0,,0
TXN097902,M050,C01903,487.48,UPI,Bank_A,Android,Delhi,2026-07-05 02:40:17.000000000,SUCCESS,0,,0
TXN055980,M013,C08281,1690.29,UPI,Bank_X,Android,Delhi,2026-07-25 06:25:59.000000000,SUCCESS,0,,0
TXN024116,M015,C08986,2436.73,UPI,Bank_Y,Android,Delhi,2026-07-17 00:50:01.000000000,SUCCESS,0,,0
TXN056253,M031,C03328,207.02,UPI,Bank_Y,Android,Delhi,2026-07-25 19:07:01.000000000,SUCCESS,0,,0
TXN097573,M036,C03027,2360.06,UPI,Bank_X,Android,Bangalore,2026-07-29 16:28:19.000000000,SUCCESS,0,,0
TXN058979,M031,C00354,1140.85,NETBANKING,Bank_Y,Android,Hyderabad,2026-07-16 02:17:50.000000000,SUCCESS,0,,0
TXN074611,M022,C00785,419.65,UPI,Bank_C,Android,Bangalore,2026-07-24 19:09:23.000000000,SUCCESS,0,,0
TXN009549,M010,C09319,3001.75,CARD,Bank_C,Web,Bangalore,2026-07-02 16:36:32.000000000,SUCCESS,0,,0
TXN049853,M015,C08143,1188.91,UPI,Bank_Y,Android,Delhi,2026-07-31 20:29:42.000000000,SUCCESS,0,,0
TXN095576,M002,C07755,3709.89,UPI,Bank_Y,Android,Chennai,2026-07-30 12:40:42.000000000,SUCCESS,0,,0
TXN079937,M017,C06216,693.34,NETBANKING,Bank_Y,Android,Hyderabad,2026-07-29 19:09:42.000000000,SUCCESS,0,,0
TXN015544,M014,C00422,767.62,WALLET,Bank_C,Android,Hyderabad,2026-07-23 07:39:07.000000000,SUCCESS,0,,0
TXN067038,M033,C03971,1263.61,CARD,Bank_B,iOS,Hyderabad,2026-07-06 17:02:54.000000000,SUCCESS,0,,0
TXN006905,M023,C03901,1474.59,UPI,Bank_Y,Android,Delhi,2026-07-07 19:04:33.000000000,SUCCESS,0,,0
TXN056538,M023,C03168,731.28,UPI,Bank_C,iOS,Bangalore,2026-07-14 01:25:01.000000000,SUCCESS,0,,0
TXN003320,M024,C04360,2066.91,UPI,Bank_A,Android,Delhi,2026-07-20 05:39:05.000000000,SUCCESS,0,,0
TXN049330,M003,C07250,612.55,UPI,Bank_Y,iOS,Delhi,2026-07-02 05:17:02.000000000,SUCCESS,0,,0
TXN015426,M029,C01973,547.63,CARD,Bank_C,Web,Bangalore,2026-07-03 23:56:29.000000000,SUCCESS,0,,0
TXN061027,M020,C05122,9063.66,UPI,Bank_X,Android,Delhi,2026-07-01 04:07:59.000000000,SUCCESS,0,,0
TXN088391,M017,C06267,215.41,UPI,Bank_Y,Web,Mumbai,2026-07-22 07:39:16.000000000,SUCCESS,0,,0
TXN063851,M023,C01888,4180.62,UPI,Bank_B,Web,Chennai,2026-07-04 17:53:46.000000000,SUCCESS,0,,0
TXN039661,M010,C06493,475.81,CARD,Bank_X,Android,Bangalore,2026-07-12 15:57:10.000000000,SUCCESS,0,,0
TXN099502,M014,C07453,3278.84,UPI,Bank_Y,Android,Bangalore,2026-07-07 14:23:42.000000000,SUCCESS,0,,0
TXN033427,M016,C03093,401.96,CARD,Bank_C,Android,Chennai,2026-07-02 12:46:49.000000000,SUCCESS,0,,0
TXN048497,M006,C05851,407.38,UPI,Bank_A,iOS,Delhi,2026-07-21 13:49:52.000000000,SUCCESS,0,,0
TXN004294,M039,C03369,10455.21,NETBANKING,Bank_B,Web,Bangalore,2026-07-29 16:08:44.000000000,SUCCESS,0,,0
TXN075179,M026,C07960,3622.76,WALLET,Bank_C,Android,Delhi,2026-07-20 05:42:09.000000000,SUCCESS,0,,0
TXN016535,M041,C03974,3587.27,NETBANKING,Bank_X,iOS,Chennai,2026-07-05 21:03:59.000000000,SUCCESS,0,,0
TXN037246,M012,C01172,1634.49,UPI,Bank_X,Web,Mumbai,2026-07-22 23:42:51.000000000,SUCCESS,0,,0
TXN047659,M043,C01732,1404.28,CARD,Bank_A,Web,Bangalore,2026-07-09 07:44:17.000000000,SUCCESS,0,,0
TXN002788,M008,C03775,1563.56,UPI,Bank_X,Android,Hyderabad,2026-07-23 20:24:19.000000000,SUCCESS,0,,0
TXN091435,M046,C04426,5159.87,UPI,Bank_C,Web,Delhi,2026-07-06 08:14:27.000000000,FAILED,0,INSUFFICIENT_FUNDS,1
TXN012828,M038,C01142,3859.89,CARD,Bank_A,Android,Chennai,2026-07-18 01:50:31.000000000,SUCCESS,0,,0
TXN051473,M044,C06352,3946.14,UPI,Bank_Y,iOS,Delhi,2026-07-09 00:44:15.000000000,SUCCESS,0,,0
TXN005563,M046,C05469,1025.15,CARD,Bank_Y,iOS,Mumbai,2026-07-20 14:12:17.000000000,SUCCESS,0,,0
TXN069139,M037,C04888,7014.69,UPI,Bank_Y,Web,Bangalore,2026-07-16 01:22:54.000000000,SUCCESS,0,,0
TXN068291,M016,C01315,1937.7,CARD,Bank_C,Android,Bangalore,2026-07-02 20:08:10.000000000,SUCCESS,0,,0
INC0387,M021,C01303,3923.92,UPI,Bank_X,Android,Delhi,2026-07-23 19:31:27.311597654,SUCCESS,1,,0
TXN074836,M034,C08647,1369.65,UPI,Bank_X,Android,Hyderabad,2026-07-02 22:37:08.000000000,SUCCESS,0,,0
TXN093435,M004,C08792,12063.82,CARD,Bank_Y,Android,Delhi,2026-07-18 04:53:21.000000000,SUCCESS,0,,0
TXN097409,M031,C08808,1589.82,UPI,Bank_X,iOS,Bangalore,2026-07-11 18:36:29.000000000,SUCCESS,0,,0
TXN089629,M003,C02276,670.45,UPI,Bank_Y,Web,Chennai,2026-07-09 09:56:49.000000000,SUCCESS,0,,0
TXN054494,M008,C07697,410.45,CARD,Bank_Y,Web,Delhi,2026-07-30 03:12:09.000000000,SUCCESS,0,,0
TXN042568,M016,C06726,1227.83,CARD,Bank_B,Android,Hyderabad,2026-07-30 00:08:35.000000000,SUCCESS,0,,0
TXN057417,M041,C06965,659.15,UPI,Bank_C,Android,Hyderabad,2026-07-11 22:37:06.000000000,SUCCESS,0,,0
